Alberca,AA,38.61,Centro Cultural 1,63.67,,,,,,,,
Aulas 5,Parking D,64.59,Comida Prepa,50.97,,,,,,,,
Aulas 6,Parking B,55.26,Comida Prepa,102.44,,,,,,,,
Biblioteca,Terraza,28.19,Biblioteca Estacionamiento,25.93,,,,,,,,
Biblioteca Estacionamiento,Planta Fisica,44.09,Parking J,32.47,,,,,,,,
Cafeteria,E Admin 2,57.29,Parking L,47.84,E,36.49,Parking O,49.15,,,,
Centro Cultural 1,Centro Cultural 2,43.37,AB,29.36,E 3 - 4,40.31,,,,,,
Centro Cultural 2,AB,42.57,E 3 - 4,67.61,,,,,,,,
Centro de Congresos,C,25.65,M,69.71,B,40.79,,,,,,
Comida Med,Edificio 4,22.76,AC,67.26,Ex ed arqui,28.23,,,,,,
Comida Prepa,Parking C,69.79,,,,,,,,,,
CyberPlaza,AA,40.87,Z,54.49,O,31.83,Terraza,49.54,N,25.31,E 2 - 3,70.33
Domo Deportivo,Y,62.73,R,59.7,P,34.36,Z,49.52,,,,
E 1,N,40.27,E 2 - 3,75.12,K,60,E Admin 1,43.71,L,37.46,E 1 Parking,88.68
E 1 Parking,Parking J,46.77,Parking K,40.35,,,,,,,,
E 2 - 3,E 3 - 4,98.49,J,24.06,K,18.91,N,80.41,,,,
E 3 - 4,Salon Estructura de Datos,13.47,AC,29.74,,,,,,,,
E Admin 1,K,38.97,L,44.7,E Admin 2,64.55,G,28.98,,,,
E Admin 2,L,49.17,F,27.83,,,,,,,,
Edificio 4,AD,67.82,Salon Estructura de Datos,55.97,,,,,,,,
Edificio LAD,Parking H,63.77,Parking I,24.29,,,,,,,,
EIAD 1,U,52.4,Parking G,24.5,,,,,,,,
EIAD 2,Parking G,32.51,S,41.35,,,,,,,,
Entrada A,Residencias,65.64,,,,,,,,,,
Entrada B,Parking N,49.32,,,,,,,,,,
Entrada Secundaria,U,108.94,Parking F,27.4,,,,,,,,
Entrada Sole,A,42.05,,,,,,,,,,
Entrada Visitantes,Parking P,63.99,,,,,,,,,,
Ex ed arqui,AC,53.89,,,,,,,,,,
Expreso Tec,Parking D,56.28,,,,,,,,,,
Fortaleza Azul,W,100.54,X,60.53,,,,,,,,
Gimnasio,Y,62.59,Z,42.92,,,,,,,,
Ing Civil,Parking F,51.34,Parking E,66.51,,,,,,,,
Medicina,AC,50.59,Parking Q,25.01,,,,,,,,
Oxxo,I,30.43,H,22.79,,,,,,,,
Parking A,Parking B,59.9,Parking L,77.33,Residencias,83.71,,,,,,
Parking B,Parking C,78.57,Parking K,78.65,,,,,,,,
Parking C,Parking D,66.43,Parking J,88.07,,,,,,,,
Parking D,Parking E,79.19,Parking I,98.75,,,,,,,,
Parking E,Parking H,100.09,,,,,,,,,,
Parking G,Parking H,76.51,,,,,,,,,,
Parking H,R,75.99,,,,,,,,,,
Parking I,Planta Fisica,7.93,,,,,,,,,,
Parking J,Planta Fisica,63.56,N,91.59,,,,,,,,
Parking K,L,72.86,Parking L,64.98,,,,,,,,
Parking L,Parking M,64.59,,,,,,,,,,
Parking M,Parking O,63.24,Parking N,53.58,,,,,,,,
Parking O,E,51.55,D,72.03,,,,,,,,
Parking P,C,80.26,B,57.47,Parking Q,76.53,PCI Tec,74.11,,,,
PCI Tec,H,49.53,C,32.52,,,,,,,,
Planta Fisica,O,72.6,,,,,,,,,,
Salon Estructura de Datos,AC,33.75,,,,,,,,,,
Terraza,O,30.84,N,27.52,,,,,,,,
A,B,61.79,D,50.18,,,,,,,,
B,C,44.42,,,,,,,,,,
C,H,66.07,,,,,,,,,,
E,F,26.13,M,48.1,,,,,,,,
F,G,69.17,,,,,,,,,,
G,I,22.18,H,33.38,,,,,,,,
I,K,37.67,J,44.08,,,,,,,,
O,P,36.87,Z,46.15,N,68.02,,,,,,
P,R,66.42,,,,,,,,,,
Q,V,169.17,X,116.75,Y,92.16,,,,,,
R,Y,58.44,S,74,,,,,,,,
S,T,90.06,,,,,,,,,,
T,U,81.67,V,149.03,,,,,,,,
V,W,119.1,,,,,,,,,,
X,AD,130,,,,,,,,,,
Y,Z,90,,,,,,,,,,
AA,AB,110,,,,,,,,,,
AB,AD,83.51,,,,,,,,,,
